Detail - X,Detail - Y,Box - X,Box - Y
0042.2185,0230.2022,0338.0000,0140.0000
0115.2868,0230.2022,0338.0000,0140.0000
0193.6544,0255.6713,0338.0000,0240.0000
0259.5477,0263.5027,0338.0000,0340.0000
0307.7039,0260.8295,0338.0000,0440.0000
0302.8170,0156.4535,0338.0000,0338.0000
0202.4013,0147.3829,0180.0000,0300.0000
0209.6081,0056.2646,0180.0000,0300.0000
0314.5159,0060.3152,0180.0000,0300.0000
0416.3378,0061.2527,0180.0000,0300.0000
0400.7753,0156.9418,0338.0000,0338.0000
0454.0038,0287.0207,0180.0000,0300.0000
0407.2244,0263.2125,0180.0000,0500.0000
0358.1137,0263.2125,0180.0000,0500.0000
0372.4133,0356.0825,0180.0000,0500.0000
0340.3416,0406.1378,0180.0000,0500.0000
0422.0883,0437.4562,0180.0000,0300.0000
0342.9178,0460.6898,0180.0000,0500.0000
0220.2089,0475.8756,0180.0000,0300.0000
0272.4340,0381.9257,0180.0000,0300.0000
0192.0736,0391.0194,0338.0000,0240.0000
0065.6849,0468.2842,0180.0000,0500.0000
